,Sentinel-2,,,Landsat-8,,,,,,,
0,0.437,,0,0.393,,0,1564,100%,>0,150,100%
1,0.352,,1,0.464,,0.1,1552,99%,>0.1,147,98%
2,0.605,,2,0.501,,0.2,1411,90%,>0.2,134,89%
3,0.322,,3,0.553,,0.3,1182,76%,>0.3,111,74%
4,0.476,,4,0.525,,0.4,897,57%,>0.4,83,55%
5,0.548,,5,0.533,,0.5,639,41%,>0.5,53,35%
6,0.455,,6,0.396,,0.6,322,21%,>0.6,34,23%
7,0.484,,7,0.443,,0.7,64,4%,>0.7,26,17%
8,0.541,,8,2.775,,0.8,15,1%,>0.8,21,14%
9,0.462,,9,0.286,,0.9,6,0%,>0.9,14,9%
10,0.475,,10,0.529,,1,4,0%,>0.10,4,3%
11,0.557,,11,0.458,,all,1564,,all,150,
12,0.395,,12,0.508,,,,,,,
13,0.334,,13,0.424,,,,,,,
14,0.377,,14,0.352,,,,,,,
15,0.628,,15,0.465,,,,,,,
16,0.363,,16,0.485,,,,,,,
17,0.11,,17,0.505,,,,,,,
18,0.159,,18,0.451,,,,,,,
19,0.469,,19,0.399,,,,,,,
20,0.161,,20,0.538,,,,,,,
21,0.1,,21,0.469,,,,,,,
22,0.084,,22,0.143,,,,,,,
23,0.212,,23,0.434,,,,,,,
24,0.427,,24,0.262,,,,,,,
25,0.274,,25,0.284,,,,,,,
26,0.389,,26,0.373,,,,,,,
27,0.458,,27,0.238,,,,,,,
28,0.369,,28,0.304,,,,,,,
29,0.434,,29,0.386,,,,,,,
30,0.405,,30,1.276,,,,,,,
31,0.502,,31,0.267,,,,,,,
32,0.624,,32,0.3,,,,,,,
33,0.337,,33,0.252,,,,,,,
34,0.251,,34,0.192,,,,,,,
35,0.315,,35,0.258,,,,,,,
36,0.515,,36,0.272,,,,,,,
37,0.282,,37,0.338,,,,,,,
38,0.383,,38,0.317,,,,,,,
39,0.511,,39,0.276,,,,,,,
40,0.433,,40,0.291,,,,,,,
41,0.484,,41,0.293,,,,,,,
42,0.293,,42,0.219,,,,,,,
43,0.282,,43,0.264,,,,,,,
44,0.425,,44,0.322,,,,,,,
45,0.317,,45,0.274,,,,,,,
46,0.648,,46,0.224,,,,,,,
47,0.459,,47,0.411,,,,,,,
48,0.549,,48,0.339,,,,,,,
49,0.708,,49,0.2,,,,,,,
50,0.365,,50,0.71,,,,,,,
51,0.374,,51,0.871,,,,,,,
52,0.621,,52,0.925,,,,,,,
53,0.534,,53,0.863,,,,,,,
54,0.488,,54,0.629,,,,,,,
55,0.579,,55,0.86,,,,,,,
56,0.418,,56,0.851,,,,,,,
57,0.482,,57,0.881,,,,,,,
58,0.427,,58,0.906,,,,,,,
59,0.467,,59,0.924,,,,,,,
60,0.488,,60,0.869,,,,,,,
61,0.694,,61,0.972,,,,,,,
62,0.483,,62,1.041,,,,,,,
63,0.557,,63,0.918,,,,,,,
64,0.633,,64,0.676,,,,,,,
65,0.486,,65,0.732,,,,,,,
66,0.586,,66,0.992,,,,,,,
67,0.607,,67,0.978,,,,,,,
68,0.592,,68,0.762,,,,,,,
69,0.571,,69,0.717,,,,,,,
70,0.81,,70,0.97,,,,,,,
71,0.797,,71,0.928,,,,,,,
72,0.636,,72,0.906,,,,,,,
73,0.668,,73,0.599,,,,,,,
74,0.253,,74,0.605,,,,,,,
75,0.237,,75,0.537,,,,,,,
76,0.528,,76,0.639,,,,,,,
77,0.329,,77,0.571,,,,,,,
78,0.61,,78,0.609,,,,,,,
79,0.542,,79,0.602,,,,,,,
80,0.492,,80,0.608,,,,,,,
81,0.536,,81,0.588,,,,,,,
82,0.477,,82,0.699,,,,,,,
83,0.625,,83,0.596,,,,,,,
84,0.649,,84,0.598,,,,,,,
85,0.566,,85,0.772,,,,,,,
86,0.676,,86,0.576,,,,,,,
87,0.699,,87,0.432,,,,,,,
88,0.312,,88,0.482,,,,,,,
89,0.284,,89,0.405,,,,,,,
90,0.248,,90,0.326,,,,,,,
91,0.347,,91,0.378,,,,,,,
92,0.563,,92,0.325,,,,,,,
93,0.365,,93,0.374,,,,,,,
94,0.496,,94,0.409,,,,,,,
95,0.588,,95,0.452,,,,,,,
96,0.549,,96,0.385,,,,,,,
97,0.613,,97,0.366,,,,,,,
98,0.51,,98,0.429,,,,,,,
99,0.338,,99,0.51,,,,,,,
100,0.312,,100,0.357,,,,,,,
101,0.39,,101,0.375,,,,,,,
102,0.67,,102,0.3,,,,,,,
103,0.533,,103,0.379,,,,,,,
104,0.694,,104,0.402,,,,,,,
105,0.774,,105,0.47,,,,,,,
106,0.235,,106,0.435,,,,,,,
107,0.156,,107,0.34,,,,,,,
108,0.269,,108,0.381,,,,,,,
109,0.543,,109,0.417,,,,,,,
110,0.351,,110,0.496,,,,,,,
111,0.496,,111,0.282,,,,,,,
112,0.614,,112,0.286,,,,,,,
113,0.628,,113,0.473,,,,,,,
114,0.347,,114,0.306,,,,,,,
115,0.652,,115,0.4,,,,,,,
116,0.521,,116,0.596,,,,,,,
117,0.661,,117,0.371,,,,,,,
118,0.176,,118,0.543,,,,,,,
119,0.288,,119,0.585,,,,,,,
120,0.624,,120,0.406,,,,,,,
121,0.349,,121,0.436,,,,,,,
122,0.448,,122,0.475,,,,,,,
123,0.679,,123,0.428,,,,,,,
124,0.576,,124,0.329,,,,,,,
125,0.595,,125,0.421,,,,,,,
126,0.68,,126,0.412,,,,,,,
127,0.606,,127,0.119,,,,,,,
128,0.626,,128,-0.278,,,,,,,
129,0.748,,129,0.211,,,,,,,
130,0.194,,130,0.084,,,,,,,
131,0.18,,131,0.067,,,,,,,
132,0.567,,132,0.132,,,,,,,
133,0.474,,133,0.136,,,,,,,
134,0.611,,134,1.301,,,,,,,
135,0.553,,135,0.121,,,,,,,
136,0.754,,136,0.443,,,,,,,
137,0.582,,137,0.398,,,,,,,
138,0.704,,138,0.101,,,,,,,
139,0.59,,139,0.167,,,,,,,
140,0.582,,140,-0.016,,,,,,,
141,0.656,,141,0.242,,,,,,,
142,0.409,,142,0.151,,,,,,,
143,0.359,,143,0.27,,,,,,,
144,0.624,,144,0.136,,,,,,,
145,0.445,,145,0.191,,,,,,,
146,0.663,,146,0.165,,,,,,,
147,0.219,,147,0.066,,,,,,,
148,0.222,,148,0.819,,,,,,,
149,0.705,,149,0.318,,,,,,,
150,0.842,,150,0.411,,,,,,,
151,0.418,,151,-0.044,,,,,,,
152,0.263,,152,-0.018,,,,,,,
153,0.623,,153,0.27,,,,,,,
154,0.434,,,,,,,,,,
155,0.424,,,,,,,,,,
156,0.639,,,,,,,,,,
157,0.518,,,,,,,,,,
158,0.625,,,,,,,,,,
159,0.535,,,,,,,,,,
160,0.389,,,,,,,,,,
161,0.673,,,,,,,,,,
162,0.341,,,,,,,,,,
163,0.327,,,,,,,,,,
164,0.556,,,,,,,,,,
165,0.332,,,,,,,,,,
166,0.468,,,,,,,,,,
167,0.613,,,,,,,,,,
168,0.278,,,,,,,,,,
169,0.626,,,,,,,,,,
170,0.445,,,,,,,,,,
171,0.652,,,,,,,,,,
172,0.509,,,,,,,,,,
173,0.629,,,,,,,,,,
174,0.389,,,,,,,,,,
175,0.396,,,,,,,,,,
176,0.388,,,,,,,,,,
177,0.662,,,,,,,,,,
178,0.422,,,,,,,,,,
179,0.418,,,,,,,,,,
180,0.543,,,,,,,,,,
181,0.453,,,,,,,,,,
182,0.469,,,,,,,,,,
183,0.608,,,,,,,,,,
184,0.222,,,,,,,,,,
185,0.23,,,,,,,,,,
186,0.317,,,,,,,,,,
187,0.628,,,,,,,,,,
188,0.597,,,,,,,,,,
189,0.366,,,,,,,,,,
190,0.46,,,,,,,,,,
191,0.651,,,,,,,,,,
192,0.593,,,,,,,,,,
193,0.463,,,,,,,,,,
194,0.511,,,,,,,,,,
195,0.628,,,,,,,,,,
196,0.344,,,,,,,,,,
197,0.326,,,,,,,,,,
198,0.369,,,,,,,,,,
199,0.658,,,,,,,,,,
200,0.267,,,,,,,,,,
201,0.271,,,,,,,,,,
202,0.489,,,,,,,,,,
203,0.186,,,,,,,,,,
204,0.171,,,,,,,,,,
205,0.306,,,,,,,,,,
206,0.538,,,,,,,,,,
207,0.335,,,,,,,,,,
208,0.462,,,,,,,,,,
209,0.713,,,,,,,,,,
210,0.421,,,,,,,,,,
211,0.487,,,,,,,,,,
212,0.667,,,,,,,,,,
213,0.296,,,,,,,,,,
214,0.253,,,,,,,,,,
215,0.347,,,,,,,,,,
216,0.679,,,,,,,,,,
217,0.182,,,,,,,,,,
218,0.164,,,,,,,,,,
219,0.311,,,,,,,,,,
220,0.336,,,,,,,,,,
221,0.346,,,,,,,,,,
222,0.434,,,,,,,,,,
223,0.282,,,,,,,,,,
224,0.282,,,,,,,,,,
225,0.285,,,,,,,,,,
226,0.392,,,,,,,,,,
227,0.629,,,,,,,,,,
228,0.301,,,,,,,,,,
229,0.334,,,,,,,,,,
230,0.313,,,,,,,,,,
231,0.433,,,,,,,,,,
232,0.572,,,,,,,,,,
233,0.706,,,,,,,,,,
234,0.66,,,,,,,,,,
235,0.341,,,,,,,,,,
236,0.618,,,,,,,,,,
237,0.659,,,,,,,,,,
238,0.679,,,,,,,,,,
239,0.308,,,,,,,,,,
240,0.298,,,,,,,,,,
241,0.549,,,,,,,,,,
242,0.388,,,,,,,,,,
243,0.433,,,,,,,,,,
244,0.574,,,,,,,,,,
245,0.4,,,,,,,,,,
246,0.453,,,,,,,,,,
247,0.573,,,,,,,,,,
248,0.309,,,,,,,,,,
249,0.33,,,,,,,,,,
250,0.613,,,,,,,,,,
251,0.337,,,,,,,,,,
252,0.397,,,,,,,,,,
253,0.536,,,,,,,,,,
254,0.332,,,,,,,,,,
255,0.416,,,,,,,,,,
256,0.61,,,,,,,,,,
257,0.274,,,,,,,,,,
258,0.598,,,,,,,,,,
259,0.44,,,,,,,,,,
260,0.609,,,,,,,,,,
261,0.489,,,,,,,,,,
262,0.595,,,,,,,,,,
263,0.39,,,,,,,,,,
264,0.633,,,,,,,,,,
265,0.3,,,,,,,,,,
266,0.324,,,,,,,,,,
267,0.398,,,,,,,,,,
268,0.433,,,,,,,,,,
269,0.591,,,,,,,,,,
270,0.478,,,,,,,,,,
271,0.576,,,,,,,,,,
272,0.7,,,,,,,,,,
273,0.415,,,,,,,,,,
274,0.331,,,,,,,,,,
275,0.627,,,,,,,,,,
276,0.159,,,,,,,,,,
277,0.199,,,,,,,,,,
278,0.405,,,,,,,,,,
279,0.578,,,,,,,,,,
280,0.665,,,,,,,,,,
281,0.196,,,,,,,,,,
282,0.25,,,,,,,,,,
283,0.555,,,,,,,,,,
284,0.231,,,,,,,,,,
285,0.33,,,,,,,,,,
286,0.609,,,,,,,,,,
287,0.138,,,,,,,,,,
288,0.147,,,,,,,,,,
289,0.475,,,,,,,,,,
290,0.291,,,,,,,,,,
291,0.42,,,,,,,,,,
292,0.533,,,,,,,,,,
293,0.346,,,,,,,,,,
294,0.431,,,,,,,,,,
295,0.565,,,,,,,,,,
296,0.191,,,,,,,,,,
297,0.155,,,,,,,,,,
298,0.278,,,,,,,,,,
299,0.603,,,,,,,,,,
300,0.243,,,,,,,,,,
301,0.448,,,,,,,,,,
302,0.369,,,,,,,,,,
303,0.568,,,,,,,,,,
304,0.386,,,,,,,,,,
305,0.431,,,,,,,,,,
306,0.595,,,,,,,,,,
307,0.234,,,,,,,,,,
308,0.235,,,,,,,,,,
309,0.268,,,,,,,,,,
310,0.613,,,,,,,,,,
311,0.503,,,,,,,,,,
312,0.358,,,,,,,,,,
313,0.431,,,,,,,,,,
314,0.601,,,,,,,,,,
315,0.565,,,,,,,,,,
316,0.588,,,,,,,,,,
317,0.652,,,,,,,,,,
318,0.225,,,,,,,,,,
319,0.247,,,,,,,,,,
320,0.574,,,,,,,,,,
321,0.226,,,,,,,,,,
322,0.367,,,,,,,,,,
323,0.613,,,,,,,,,,
324,0.259,,,,,,,,,,
325,0.227,,,,,,,,,,
326,0.26,,,,,,,,,,
327,0.528,,,,,,,,,,
328,0.331,,,,,,,,,,
329,0.698,,,,,,,,,,
330,0.739,,,,,,,,,,
331,0.265,,,,,,,,,,
332,0.209,,,,,,,,,,
333,0.51,,,,,,,,,,
334,0.353,,,,,,,,,,
335,0.454,,,,,,,,,,
336,0.448,,,,,,,,,,
337,0.512,,,,,,,,,,
338,0.286,,,,,,,,,,
339,0.27,,,,,,,,,,
340,0.401,,,,,,,,,,
341,0.615,,,,,,,,,,
342,0.285,,,,,,,,,,
343,0.308,,,,,,,,,,
344,0.313,,,,,,,,,,
345,0.093,,,,,,,,,,
346,0.23,,,,,,,,,,
347,0.276,,,,,,,,,,
348,0.371,,,,,,,,,,
349,0.064,,,,,,,,,,
350,0.068,,,,,,,,,,
351,0.387,,,,,,,,,,
352,0.602,,,,,,,,,,
353,0.599,,,,,,,,,,
354,0.755,,,,,,,,,,
355,0.178,,,,,,,,,,
356,0.151,,,,,,,,,,
357,0.128,,,,,,,,,,
358,0.294,,,,,,,,,,
359,0.459,,,,,,,,,,
360,0.184,,,,,,,,,,
361,0.204,,,,,,,,,,
362,0.168,,,,,,,,,,
363,0.109,,,,,,,,,,
364,0.298,,,,,,,,,,
365,0.631,,,,,,,,,,
366,0.646,,,,,,,,,,
367,0.249,,,,,,,,,,
368,0.271,,,,,,,,,,
369,0.368,,,,,,,,,,
370,0.381,,,,,,,,,,
371,0.326,,,,,,,,,,
372,0.323,,,,,,,,,,
373,0.252,,,,,,,,,,
374,0.513,,,,,,,,,,
375,0.343,,,,,,,,,,
376,0.644,,,,,,,,,,
377,0.995,,,,,,,,,,
378,0.314,,,,,,,,,,
379,0.219,,,,,,,,,,
380,0.54,,,,,,,,,,
381,0.324,,,,,,,,,,
382,0.424,,,,,,,,,,
383,0.583,,,,,,,,,,
384,0.211,,,,,,,,,,
385,0.304,,,,,,,,,,
386,0.507,,,,,,,,,,
387,0.365,,,,,,,,,,
388,0.412,,,,,,,,,,
389,0.822,,,,,,,,,,
390,0.224,,,,,,,,,,
391,0.517,,,,,,,,,,
392,0.651,,,,,,,,,,
393,0.237,,,,,,,,,,
394,0.311,,,,,,,,,,
395,0.303,,,,,,,,,,
396,0.346,,,,,,,,,,
397,0.681,,,,,,,,,,
398,0.303,,,,,,,,,,
399,0.395,,,,,,,,,,
400,0.63,,,,,,,,,,
401,0.412,,,,,,,,,,
402,0.471,,,,,,,,,,
403,0.623,,,,,,,,,,
404,0.42,,,,,,,,,,
405,0.469,,,,,,,,,,
406,0.568,,,,,,,,,,
407,0.312,,,,,,,,,,
408,0.26,,,,,,,,,,
409,0.336,,,,,,,,,,
410,0.608,,,,,,,,,,
411,0.31,,,,,,,,,,
412,0.582,,,,,,,,,,
413,0.284,,,,,,,,,,
414,0.292,,,,,,,,,,
415,0.444,,,,,,,,,,
416,0.491,,,,,,,,,,
417,0.353,,,,,,,,,,
418,0.505,,,,,,,,,,
419,0.564,,,,,,,,,,
420,0.427,,,,,,,,,,
421,0.478,,,,,,,,,,
422,0.359,,,,,,,,,,
423,0.645,,,,,,,,,,
424,0.581,,,,,,,,,,
425,0.575,,,,,,,,,,
426,0.555,,,,,,,,,,
427,0.43,,,,,,,,,,
428,0.432,,,,,,,,,,
429,0.492,,,,,,,,,,
430,0.437,,,,,,,,,,
431,0.413,,,,,,,,,,
432,0.362,,,,,,,,,,
433,0.54,,,,,,,,,,
434,0.593,,,,,,,,,,
435,0.55,,,,,,,,,,
436,0.639,,,,,,,,,,
437,0.893,,,,,,,,,,
438,0.641,,,,,,,,,,
439,0.643,,,,,,,,,,
440,0.331,,,,,,,,,,
441,0.487,,,,,,,,,,
442,0.685,,,,,,,,,,
443,0.581,,,,,,,,,,
444,0.695,,,,,,,,,,
445,0.673,,,,,,,,,,
446,0.633,,,,,,,,,,
447,0.566,,,,,,,,,,
448,0.626,,,,,,,,,,
449,0.568,,,,,,,,,,
450,0.628,,,,,,,,,,
451,0.702,,,,,,,,,,
452,0.746,,,,,,,,,,
453,0.656,,,,,,,,,,
454,0.675,,,,,,,,,,
455,0.261,,,,,,,,,,
456,0.409,,,,,,,,,,
457,0.65,,,,,,,,,,
458,0.42,,,,,,,,,,
459,0.492,,,,,,,,,,
460,0.705,,,,,,,,,,
461,0.695,,,,,,,,,,
462,0.638,,,,,,,,,,
463,0.616,,,,,,,,,,
464,0.191,,,,,,,,,,
465,0.178,,,,,,,,,,
466,0.576,,,,,,,,,,
467,0.353,,,,,,,,,,
468,0.773,,,,,,,,,,
469,0.223,,,,,,,,,,
470,0.253,,,,,,,,,,
471,0.977,,,,,,,,,,
472,0.534,,,,,,,,,,
473,0.331,,,,,,,,,,
474,0.551,,,,,,,,,,
475,0.586,,,,,,,,,,
476,0.557,,,,,,,,,,
477,0.459,,,,,,,,,,
478,0.622,,,,,,,,,,
479,0.639,,,,,,,,,,
480,0.594,,,,,,,,,,
481,0.608,,,,,,,,,,
482,0.624,,,,,,,,,,
483,0.168,,,,,,,,,,
484,0.153,,,,,,,,,,
485,0.566,,,,,,,,,,
486,0.337,,,,,,,,,,
487,0.595,,,,,,,,,,
488,0.605,,,,,,,,,,
489,0.624,,,,,,,,,,
490,0.537,,,,,,,,,,
491,0.6,,,,,,,,,,
492,0.176,,,,,,,,,,
493,0.546,,,,,,,,,,
494,0.368,,,,,,,,,,
495,0.631,,,,,,,,,,
496,0.636,,,,,,,,,,
497,0.484,,,,,,,,,,
498,0.178,,,,,,,,,,
499,0.132,,,,,,,,,,
500,0.218,,,,,,,,,,
501,0.572,,,,,,,,,,
502,0.297,,,,,,,,,,
503,0.47,,,,,,,,,,
504,0.623,,,,,,,,,,
505,0.579,,,,,,,,,,
506,0.611,,,,,,,,,,
507,0.568,,,,,,,,,,
508,0.209,,,,,,,,,,
509,0.175,,,,,,,,,,
510,0.562,,,,,,,,,,
511,0.384,,,,,,,,,,
512,0.504,,,,,,,,,,
513,0.662,,,,,,,,,,
514,0.187,,,,,,,,,,
515,0.137,,,,,,,,,,
516,0.19,,,,,,,,,,
